Course_Identification,Title_Long_Description,Course_Description
ARTSB321,Ceramics III,"The execution of ceramic forms with a concentration on hand-building techniques, and the formulation of glazes and clay bodies."
ARTSB325,Sculpture II,A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.
ARTSB326,Sculpture III,A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.
ARTSB330,Drawing III,Enhancing graphic richness in drawings with intellectual and visual perception as content.
ARTSB331,Intermediate Drawing II,Contemporary cultural stimuli as the content for drawing projects. Emphasis on intellectual and emotive approaches.
ARTSB345,Graphic Design II,"(Prerequisite: ARTS B102, B103, B104, B111, and B245) Digital production studio techniques for graphic design with a focus on typography and word/image relationships. Additional emphases includes: design issues, fundamental communication principles, image development, and relevant digital applications."
ARTSB362,Introduction to Digital Photography,"Focuses on creative and experimental uses of digital photography as both a visual communication tool and an art form that is related to, but separate from, traditional silver based photography. Student will be required to solve a sequenced series of visual problems as a means of exploring and mastering a variety of photographic methodologies and techniques."
ARTSB363,Digital Photography II,"Building on the foundation of ARTS B262, the photographic image is further explored in the form of time-based and alternative concepts of photography."
ARTSB364,Digital Photography III,"A more experimental approach to the photographic image. Non-traditional processes and concepts will be explored, with the further development of personal expression related to the image."
ARTSB370,Advanced Drawing,Execution of advanced techniques in drawing utilizing emerging and contemporary practices.  Emphasis on personal expression. 
ARTSB390,Directed Studio Art Internship,"(Prereq: minimum 2.5 GPA, 24 hours of ARTS credits, and approved contract with the internship supervisor) Supervised professional experience working within an arts business. A contract approved by the instructor, advisor and department chair is required for undergraduate students. Minimum of 150 service hours required."
ARTSB395,Topics in Studio Art,Topic varies within traditional and non-traditional studio art disciplines.
ARTSB399,Independent Study in Art Studio,"(Prereq: consent of instructor, advisor, Department Chair and EVCAA) Signed contract required."
ARTSB410,Advanced Painting I,The student is given further opportunity to develop according to his/her own interests.
ARTSB411,Advanced Painting II,The student is given further opportunity to develop according to his/her own interests.
ARTSB412,Advanced Painting,An advanced opportunity to develop according to one's interests. Can be repeated for a total of 6 credit hours.
ARTSB415,Advanced Printmaking I,The processes and materials of making fine prints.
ARTSB416,Advanced Printmaking II,The processes and materials of making fine prints.
ARTSB417,Advanced Printmaking,The processes and materials of making fine prints. Can be repeated for a total of 6 credit hours.
ARTSB420,Advanced Ceramics,Further development of throwing and hand-building skills. Introduction to kiln firing and continued glaze and clay experimentation. Can be repeated for a total of 6 credit hours
ARTSB427,Advanced Sculpture,This course will focus on individual development in the form of sculpture. Can be repeated for a total of 6 credit hours.
ARTSB430,Advanced Drawing I,Development of a thematic approach to drawing in a series of individual and group generated artworks.
ARTSB431,Advanced Drawing II,Development of highly individualized content in a series of drawings.
ARTSB463,Advanced Digital Photography I,This course will focus on abstracting the image and employing manipulation techniques that allow the artist to overcome the camera?s ability to recreate the visual world in an incisively realistic way.
ARTSB464,Advanced Digital Photography,This course is designed to focus on using advanced digital photography skills and techniques to explore the ?Great Themes? that photographers have explored since the medium was invented.
ARTSB465,Advanced Digital Photography,This course will focus on individual development in photography. Can be repeated for a total of 6 credit hours.
ARTSB485,Senior Exhibition,"A capstone course that focuses on a group exhibition that includes, artist: biography, resume, and statement with an online portfolio documenting the exhibition and other support materials.  All Art Majors are required to register for the Senior Exhibition in their senior year."
ARTSB490,Senior Seminar,"A capstone course including a group exhibition and the topics of: portfolios, cover letters, curriculum vitaes, artist resumes, and artist statements. Marketing strategies and preparation for graduate studies will also be discussed.  All Art Majors are required to register for the Senior Seminar in their senior year."
ASTRB111,Descriptive Astronomy I,"(Prereq: Grade of C or better in MATH B111/111L or a higher level mathematics course) The universe: physical processes and methods of study. Lectures, demonstrations, and laboratory experience. Designed primarily for the non-science major."
ASTRB111L,Descriptive Astronomy I Laboratory,Selected topics from ASTR B111 studied in greater depth. Laboratory experience required of students who have not completed ASTR B111.
ASTRB211,Desciptive Astronomy II,"(Prereq: Grade of C or better in MATH B111/111L or  a higher level mathematics course) Study of Galactic Astronomy including stars, black holes and Galaxies."
ASTRB211L,Descriptive Astronomy II Laboratory,Topics from ASTR B111/B211 studied in greater depth. Laboratory experience required of students who have not completed ASTR B111.
BADMB101,Contemporary Business,"The nature of American business and its goals. The course includes types of economic systems and concepts of organizing and managing businesses. Topics in management, marketing, finance and accounting will be integrated into the course. A topical survey of business issues and challenges."
BADMB150,Introduction to Personal Finance,"Financial Planning and literacy from a personal perspective. Topics include money management skills, taxes, banking, savings, credit, debt management, careers, consumer purchasing strategies, housing, insurance, investments, and retirement."
BADMB210,Financial Reasoning,"The course will provide an introduction to the financial concepts and principles that support business analyses and decision making.  The course will focus on important concepts such as:  the time value of money, stock and bond valuations, and interest rates and return.  In addition, the course will develop an understanding of financial statements and financial ratios."
BADMB290,NULL,"Use of computer applications to facilitate decision making and support record keeping in small business environments. Includes problem and requirements analysis and information design in a variety of real-world business problems utilizing word processing, spreadsheet and database software."
BADMB310,Health Economics,"(Prerequisite: ECON B221 or ECON B222 or PUBH B380) This course will help students develop the understanding of demand and supply side factors related to health care so they can apply economic principles to various aspects of health, health systems and health care.  "
BADMB324,Commercial Law,"Contracts, sales, bailments, negotiable instruments, agency, partnership and corporation. A combination of textbook and casebook methods of instruction is used."
BADMB345,Business Communications,"A study of effective methods of business communications including written, oral, electronic and organizational communication."
BADMB363,Business Finance,The study of the procurement and management of wealth by privately owned profit-seeking enterprises.
BADMB379,Business Ethics,"A study of the values and ethics in business, business and government relations, corporate social performance and stakeholder responsibility. Social, economic, political, technological and ecological dimensions of the external environment will be integrated."
BADMB380,Entrepreneurship,"This course is an overall introduction to the nature and scope of entrepreneurship. The entrepreneurial process as well as the entrepreneurial profile is examined in detail. It includes the planning, financing, launching and harvesting of a new venture. Entrepreneurial strategies are discussed for all facets of the business including franchising, growth and international aspects. Application of entrepreneurship to large corporations, i.e. entrepreneurship, is also a part of the course."
BADMB383,International Business,"Introduces the student to economic, financial, legal, political, cultural, institutional and managerial considerations associated with international business transactions."
BADMB396,Business Research Methods,"Focus is on the acquisition, use and evaluation of information from a manager?s perspective. The course will include problem diagnosis, research design, questionnaire preparation, sampling plans and the collection, analysis and interpretation of data as an aid to effective and efficient managerial decisions."
BADMB397,Topics in Business,Study of varied business areas and issues that are not covered in existing course offerings. Course may be taken twice with different topics for a maximum of 6 credit hours.
BADMB399,Independent Study in Business,(Prereq: Junior standing and an approved contract with instructor) Independent study courses are designed primarily for juniors and seniors who desire advanced intensive work on specific topics. Independent studies are not intended to substitute for courses listed in the USCB Bulletin. The maximum number of independent study hours a student may earn in business is limited to six. Contract approval by instructor and department chair is required.
BADMB429,Internship in Business,"(Prereq: Junior standing, 2.5 GPA, BMKT 350, BBAD 345 and an approved contract with the Internship Coordinator) This course provides students in all disciplines with the opportunity to reinforce classroom learning by working in their discipline in a supervised business environment. This course may be repeated with the approval of the Department Chair and the student?s academic advisor."
BIOLB100H,Biology Honors Seminar,"This seminar will an introduction to topics, information, reading and class field trips to reflect the honor's experience in the first two years of the program.  Topics covered will include common readings, discussion of current research topics or current events, and professional development of the student.  Course can be taken for credit up to four semesters."
BIOLB101,Biological Principles I,"Introductory survey of cell structure and function, genetics and evolution. For biology majors, premed students and others needing a prerequisite in biological sciences. Three lecture hours and three laboratory hours per week."
BIOLB102,Biological Principles II,"Introductory survey of plant and animal systems, principles of development, physiology, reproduction and ecology. Three lecture hours and three laboratory hours per week."
BIOLB110,General Biology,"Basic biological concepts and issues for non-biology majors. Three lecture, two laboratory hours per week."
BIOLB120,Human Biology,Fundamental principles of human biology. Three lecture hours per week. Not for major credit.
BIOLB120L,Human Biology Laboratory,Exercises dealing with basic concepts of human biology. Not for major credit.
BIOLB200,Plant Science,"An introduction to plant science for the non-major. This course does not carry major credit and is not designed as a prerequisite for other biology courses. Plant development, physiology, genetics, evolution and ecology will be considered. Three lecture hours per week. "
BIOLB200L,Plant Science Laboratory,"Laboratory exercises, demonstrations and audiovisual supplements to BBIO 200. Two hours per week. Not for major credit. "
BIOLB230,Microbiology,"(Prerequisite: college-level biology) An introduction to bacteria and viruses, emphasizing structure, metabolism and pathogenesis. Discussion of infectious diseases, antigen-antibody relationships and anti-microbial agents in chemotherapy. Not available for biology major credit. Three lecture and three laboratory hours per week."
BIOLB232,Human Anatomy,Functional anatomy of the human body and its relation to disease processes. Not for biology major credit. Three lecture and three laboratory hours per week
BIOLB234,Human Physiology,"Physiology of the human body, including Nervous, sensory, endocrine, muscle, circulatory, immune, respiratory, digestive, urinary and reproductive systems. Not available for biology majors? credit. 3 lecture and 2 laboratory hours."
BIOLB243,Human Anatomy and Physiology,"(Prerequisite: 1 year of high school (or higher) biology or chemistry with laboratory with a grade of B or better and BMTH 111L or placement into BMTH 111 or higher.) Functional anatomy and physiology of the human body, including the integumentary, skeletal, muscular and nervous systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week."
BIOLB244,Human Anatomy and Physiology II,"Functional anatomy and physiology of the human body, including the cardiovascular, endocrine, excretory, reproductive, digestive and respiratory systems. Not available for biology major credit. Three lecture hours and three laboratory hours per week."
BIOLB270,Introduction to Environmental Biology,Basic ecological principles and the impacts of human population growth and technology. Not for major credit.
BIOLB270L,Introduction to Environmental Biology Laboratory,"Demonstrations, data analyses, discussions and films relating to human ecology, resource use and environmental impact. Two hours per week. Not for major credit."
BIOLB271,Applied Enviromental Science,Basic ecological principles on the functions and values of natural systems and how to apply those principles to designing the built environment in concert with nature.
BIOLB290,Weekly Seminar in Science,(Prerequisite: Permission of instructor) Weekly seminar in science is a survey of scientific research seminars presented by both USCB researchers and visiting researchers from other institutions.  Format is that of a departmental seminar.  Grades are based on attendance and on a number of executive summaries of seminars by students taking the course for credit.  Class can be taken up to 4 times under different semesters.
BIOLB295,Directed Studies in Biology,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 6 credits."
BIOLB301,Ecology and Evolution,"Concepts of evolution, populations and population interactions; communities and ecosystems. Three lecture hours per week."
BIOLB301L,Ecology and Evolution Laboratory,"Experiments, exercises and demonstrations. Three hours per week.  "
BIOLB302,Cell and Molecular Biology,"Principles of eukaryotic cell structure, molecular organization and physiology. Genome organization and expression. Cell growth, division and cell-cell interactions. Three lecture hours per week."
BIOLB302L,Cell and Molecular Biology Laboratory,"Experiments, exercises and demonstrations. Three hours per week."
BIOLB303,Fundamental Genetics,Basic principles of transmission and molecular genetics; quantitative inheritance; recombination; biochemical aspects of gene function and regulation; developmental genetics and population genetics. Three lecture hours per week.
BIOLB395,Advanced Directed Studies in Biology,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 6 credit hours."
BIOLB399,Independent Study in Biology,"Contract approval by instructor, advisor, Department Chair and Vice Chancellor for academic affairs is required."
BIOLB401,Marine Internship,(Prerequisite: Sophomore standing) Required paid or unpaid internship or field experience for gaining practical experience in marine biology. 
BIOLB405,Developmental Biology I,An introduction to the descriptive and experimental embryology of animals. Living and preserved specimens will be used to demonstrate the basic processes of embryogenesis. Three lecture hours per week.
BIOLB405L,Developmental Biology I Laboratory,Descriptive and experimental exercises related to embryology. One three-hour laboratory per week.
BIOLB410,Invertebrate Zoology,"Phylogenetic and comparative aspects of anatomy, physiology, reproduction and embryology of the invertebrates. Three lecture and one three-hour laboratory per week."
BIOLB411,Biology of Marine Organisms,"(Prereq: BBIO 101, BBIO 102) Biological concepts emphasizing adaptation to marine environments. Laboratory experiments emphasize principles and techniques of marine biological study. Three lecture and three laboratory hours per week. Scheduled field trips are required. "
BIOLB425,Marine Plants,"Diversity, distribution, physiology, ecology, evolution, and economic importance of marine algal, sea grass and mangrove communities. Three lecture and three laboratory hours per week. Scheduled field trips are required."
BIOLB430,Histology,An introduction to the tissues that make up the human body. The microscopic anatomy of tissues is examined and discussed in terms of function and physiology. Three lecture hours and four laboratory hours per week. 
BIOLB431,Bacteriology,"Introduction to bacteria and viruses emphasizing ultra structure, physiology, genetics and growth. Discussion of public health, industrial and environmental microbiology.  Three lecture hours per week."
BIOLB431L,Bacteriology Laboratory,Three laboratory hours per week.
BIOLB435,Neurobiology,"Descriptive and experimental aspects of the neural basis of behavior, emphasizing cellular and molecular mechanisms. Three lecture hours per week. "
BIOLB435L,Neurobiology,"Descriptive and experimental aspects of the neural basis of behavior, emphasizing cellular and molecular mechanisms.  One 3-hour laboratory per week."
BIOLB436,Ichthyology,"Phylogeny, morphology, behavior, and ecology of fishes. Three lecture and three laboratory hours per week. Several field trips are required."
BIOLB438,Marine Mammal Biology,"(Prerequisite: BIOL B301) Diversity, anatomy, ecology, energetics, and conservation of marine mammals. "
BIOLB438L,Marine Mammal Biology Lab,(Prerequisite: BIOL B301; Corequisite: BIOL B438) Experimental aspects of marine mammal biology.  
BIOLB441,Principles of Biochemistry,{=CHEM B450}  A survey of fundamentals of biochemistry. 
BIOLB441L,Principles of Biochemistry Laboratory,{=CHEM B450L}Three laboratory hours per week.
BIOLB448,Life and Death in the Salt Marsh,"Intensive Maymester course teaching field research methods, statistical design, and culminating in an independent research project on aspects of ecological processes of Beaufort and surrounding counties.  Students will spend more than 5 hours per day in classroom/field-laboratory context planning, developing, researching background, and carrying out their research project, approved and facilitated by course faculty."
BIOLB450,Biological Oceanography,"(Prerequisite: C or better in two of the three core courses: BIOL B301, B302, B303) Capstone course for the Marine Biology degree program that is an interdisciplinary introduction to biological oceanography. The course integrates physical, chemical, geological and biological principles into an overview of oceanic processes, with an emphasis on the influence of organisms on biogeochemical cycles. 3-50 minute lectures and 2.8-hour laboratory each week.   "
BIOLB451,Forensic Techniques and Data Analysis,"Current application of forensic data collection, analysis and interpretation in the legal process. Three lecture hours per week."
BIOLB460,General Physiology,Functional mechanisms of vertebrate organ systems. Three lecture hours per week.
BIOLB460L,General Physiology Laboratory,Experiments on vertebrate organ system functions using different animal models. One four-hour laboratory per week.
BIOLB461,Medical Parasitology,The goal of this course is to introduce students to phylogenetic/taxonomic overview of the major groups of parasites with emphasis on parasites that are of medical or veterinary importance.
BIOLB461L,Medical Parasitology Laboratory,The goal of this course is to introduce students to a phylogenetic/taxonomic overview of major groups of parasites and develop laboratory skills in parasite identification and morphology.
BIOLB470,Principles of Ecology,Interactions of organisms and the environment; ecosystem structure and functions. Three lecture hours per week.
BIOLB470L,Principles of Ecology Laboratory,Three lab hours per week.
CSXEB211,Engineering Graphics and Visualization,Principles and practice of visualization and graphical representation using modern computer-aided design tools.
BIOLB471,Conservation Biology,Synthesis of current scientific trends in conservation biology. Emphasis will be placed on the preservation of biological diversity as well as its evolutionary potential. Laboratory/Seminar will review scientific literature and introduce modern molecular techniques in conservation biology and computer simulation modeling.
BIOLB475,Marine Ecology,"Structure, dynamics and interactions between populations and communities in marine ecosystems. Three lecture hours per week."
BIOLB475L,Marine Ecology Laboratory,Laboratory and field exercises in coastal environments.
BIOLB476,Freshwater Biology,"(Prerequisite: BIOL B301 & B301L) This course provides an introduction to freshwater biology, with an emphasis on blackwater swamps, temperate and subtropical zone lakes, ponds and streams including species, populations, and communities that occupy these  environments.  "
BIOLB478,Herpetology,"Evolution, physiology, ecology and behavior of amphibians and reptiles. The lab portion of this course will focus on native amphibians and reptiles and their importance in local ecosystems."
BIOLB480,Molecular Marine Ecology,"Investigation of techniques and analysis of molecular data in marine organisms. Hands-on experience using molecular tools to investigate population genetic, ecological and systematic principles."
BIOLB490,Marine Policy,"(Prerequisite: ?C? or better in two of the three core courses BIOL B301, B302, and B303) This course is an overview of strategies and current practices in marine and coastal policy and management and will examine relevant historical and current state, federal and international marine and coastal policy programs and issues.  Students will learn directly from professionals in government, academia and non-governmental organizations and stakeholders. Specific emphasis will be put on science communication to policymakers in current issues. This course will be heavily activity-based."
BIOLB498,Biological Research: An Introduction,"(Prereq: one 300-level or higher biological laboratory and consent of instructor) Methodologies of biological research with emphasis on hypothesis formation, research design and data collection and current issues in biology. Two lecture and six laboratory hours per week."
BIOLB499,Topics in Biology,Current developments in biological sciences. Readings and research on selected topics. Course content varies and will be announced in the schedule of classes.
CHEMB101,Fundamental Chemistry,"A science elective surveying inorganic and solution chemistry. First of a terminal two-semester sequence.Three lecture, one recitation and two laboratory hours per week."
CHEMB102,Fundamental Chemistry II,"An introductory survey of organic and biochemistry. Three lecture, one recitation and two laboratory hours per week."
CHEMB105,Chemistry and Modern Man I,"A conceptual and qualitative approach to chemistry, its evolution, achievements and goals and its impact on technology, the environment and modern life and thought. (Specifically designed for non-science majors.) Three lecture hours per week."
CHEMB106,Chemistry and Modern Man II,A continuation of Chemistry 105. Three lecture hours per week.
CHEMB106L,Chemistry and Modern Man Laboratory,(Prereq: CHEM B105; Coreq: CHEM B106) Laboratory associated with CHEM 106. Three hours of laboratory per week.
CHEMB109,Chemistry of Living Things,"Chemical principles including the structure of and energy associated with matter; quantitative kinetic and equilibrium analysis of chemical and physical processes. Structure and function of biological macromolecules and the molecular basis of inheritance are surveyed. Specifically designed for non-science majors. Cannot receive credit for both CHEM B101 and B109. Three lecture, one recitation and two laboratory hours per week."
CHEMB111,General Chemistry I,"A survey of the principles that underlie all chemistry with applications illustrating these principles. Three lecture, one recitation and two laboratory hours per week."
CHEMB112,General Chemistry II,"A continuation of CHEM B111. Special emphasis on chemical equilibrium. Three lecture, one recitation and three laboratory hours per week."
CHEMB118,Computational Chemistry,Introduction to the use of computers in solving chemical problems. One discussion and two laboratory hours per week.
CHEMB321,Quantitative Analysis,"Gravimetric, volumetric and introductory instrumental analysis. Three lecture and one recitation hours per week."
CHEMB321L,Quantitative Analysis Laboratory,Lab associated with CHEM B321. Three laboratory hours per week.
CHEMB331L,Essentials of Organic Chemistry Laboratory I,"Laboratory safety, syntheses, separation and purification of carbon compounds."
CHEMB332L,Essential of OrganicI Chemistry Laboratory II,Continuation of BCHM 331L. Spectroscopic identification of carbon compounds. For non-majors. Three laboratory hours per week.
CHEMB333,Organic Chemistry I,"Contemporary theories, nomenclature, reactions, mechanisms and syntheses of carbon compounds. Three lecture and one recitation hours per week."
CHEMB333L,Comprehensive Organic Chemistory I Laboratory,"Laboratory safety, synthesis, separation and purification of carbon compounds. Required for chemistry majors. Six laboratory hours per week."
CHEMB334,Organic Chemistry II,Continuation of CHEM B333. Required for chemistry majors. Three lecture and one recitation hours per week.
CHEMB334L,Comprehensive Organic Chemistry II Laboratory,Continuation of CHEM B333L. Spectroscopic identification of carbon compounds. Required for chemistry majors. Six laboratory hours per week.
CHEMB398,NULL,"Study of a topic not otherwise available to student.  May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor.  Repeatable to a maximum of 8 credit hours."
CHEMB399,Indpendent Study in Chemistry,"Contract approval by instructor, advisor, Department Chair and Vice Chancellor for academic affairs is required."
CHEMB450,Principles of Biochemistry,A survey of fundamentals of biochemistry.
CHEMB450L,Principles of Biochemistry Laboratory I,Three laboratory hours per week.
CHEMB496,Undergraduate Research in Chemistry,(Prereq: consent of instructor) Introduction to the methods of chemical research. A written report on work accomplished is required at the end of each semester. Nine hours of library and laboratory per week.
COMMB140,Public Communication,"Public speaking and the principles and criticism of oral public communication, to include performance by students."
COMMB190,Introduction to Communication Studies,"An introduction to communication studies as a field of study, including the concepts, ideas, issues, research methods and theories associated with the discipline."
COMMB201,Interpersonal Communication,Presents basic concepts for understanding communication in interpersonal relationships. It combines a theoretical approach with a skills approach to the study of interpersonal communication.
