Academic Term,Course Campus,Course Identification,Subject,Subject Description,Course Number,Status,Status Description,Schedule Type,College,College Description,Dept,Department Description,Minimum Credit,Maximum Credit,Title Short Description,Title Long Description,Course Description,Default Grade Mode Description
Fall 2023,Beaufort,ARTHB320,ARTH,ARTH - Art History,B320,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Hist Italian Renaissance Art,History of Italian Renaissance Art,"(Prerequisite: ARTH B106 or at the discretion of the instructor) The origins and development of Renaissance painting, sculpture and architecture in Italy during the 15th and 16th centuries.
",Standard Letter
Fall 2023,Beaufort,ARTHB335,ARTH,ARTH - Art History,B335,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,History of 20th Century Art,History of 20th Century Art,"(Prerequisite: ARTH B106 or at the discretion of the instructor) A survey of architecture, painting and sculpture in the 20th century.
",Standard Letter
Fall 2023,Beaufort,ARTHB390,ARTH,ARTH - Art History,B390,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Topics in Art History,Topics in Art History,"(Prerequisite: ARTH B105 and ARTH B106) Topic title varies. May be repeated under different topics. 
",Standard Letter
Fall 2023,Beaufort,ARTHB399,ARTH,ARTH - Art History,B399,A,Active,Independent Study,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,9,Independent Study,Independent Study in Art History,"(Prerequisite: Contract approval is required.)
",Standard Letter
Fall 2023,Beaufort,ARTSB100,ARTS,ARTS - Art Studio,B100,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Workshop for Non-Majors,Workshop for Non-Majors,"Varied topics in Visual Art & Design for non-major students. This course will not count toward major or minor credit in Visual Art & Design, but would
count toward elective credit, and could be repeated multiple times if in different areas.",Standard Letter
Fall 2023,Beaufort,ARTSB101,ARTS,ARTS - Art Studio,B101,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Studio Arts for Non Majors,Studio Arts for Non Majors,Topics will focus on the introduction of approaches to art-making which include traditional and non-traditional methods and techniques.,Standard Letter
Fall 2023,Beaufort,ARTSB102,ARTS,ARTS - Art Studio,B102,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Intro Visual Arts Computing,Introduction to Visual Arts Computing,A foundations level course in the use of personal computers and discipline-related software as aids in visual art and design.,Standard Letter
Fall 2023,Beaufort,ARTSB103,ARTS,ARTS - Art Studio,B103,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,2-Dimensional Design,2-Dimensional Design,"Introduction to visual thinking and principles of two-dimensional design.
",Standard Letter
Fall 2023,Beaufort,ARTSB104,ARTS,ARTS - Art Studio,B104,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,3-Dimensional Design,3-Dimensional Design,"Introduction to the principles of three-dimensional design regarding concepts, materials, and spatial arrangement.
",Standard Letter
Fall 2023,Beaufort,ARTSB104,ARTS,ARTS - Art Studio,B104,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,3-Dimensional Design,3-Dimensional Design,"Introduction to the principles of three-dimensional design regarding concepts, materials, and spatial arrangement.
",Standard Letter
Fall 2023,Beaufort,ARTSB111,ARTS,ARTS - Art Studio,B111,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing I,Drawing I,"Introduction to the materials and basic techniques of drawing.
",Standard Letter
Fall 2023,Beaufort,ARTSB111,ARTS,ARTS - Art Studio,B111,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing I,Drawing I,"Introduction to the materials and basic techniques of drawing.
",Standard Letter
Fall 2023,Beaufort,ARTSB210,ARTS,ARTS - Art Studio,B210,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting I,Painting I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to painting that covers materials, techniques and related historical influences on the medium.",Standard Letter
Fall 2023,Beaufort,ARTSB210,ARTS,ARTS - Art Studio,B210,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting I,Painting I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to painting that covers materials, techniques and related historical influences on the medium.",Standard Letter
Fall 2023,Beaufort,ARTSB212,ARTS,ARTS - Art Studio,B212,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing II,Drawing II,"(Prerequisite: ARTS B102, B103, B104, and B111) This course offers further development of skills in observation; composition, drawing techniques, and language to students who have completed ARTS B111 or equivalent.
",Standard Letter
Fall 2023,Beaufort,ARTSB212,ARTS,ARTS - Art Studio,B212,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing II,Drawing II,"(Prerequisite: ARTS B102, B103, B104, and B111) This course offers further development of skills in observation; composition, drawing techniques, and language to students who have completed ARTS B111 or equivalent.
",Standard Letter
Fall 2023,Beaufort,ARTSB215,ARTS,ARTS - Art Studio,B215,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking I,Printmaking I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introductory course in printmaking with emphasis on relief processes.",Standard Letter
Fall 2023,Beaufort,ARTSB215,ARTS,ARTS - Art Studio,B215,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking I,Printmaking I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introductory course in printmaking with emphasis on relief processes.",Standard Letter
Fall 2023,Beaufort,ARTSB220,ARTS,ARTS - Art Studio,B220,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics I,Ceramics I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the materials and techniques of ceramics focused on hand-building with an
introduction to wheel throwing.",Standard Letter
Fall 2023,Beaufort,ARTSB220,ARTS,ARTS - Art Studio,B220,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics I,Ceramics I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the materials and techniques of ceramics focused on hand-building with an
introduction to wheel throwing.",Standard Letter
Fall 2023,Beaufort,ARTSB225,ARTS,ARTS - Art Studio,B225,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture I,Sculpture I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to concepts, materials and techniques related to sculpture. 
",Standard Letter
Fall 2023,Beaufort,ARTSB225,ARTS,ARTS - Art Studio,B225,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture I,Sculpture I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to concepts, materials and techniques related to sculpture. 
",Standard Letter
Fall 2023,Beaufort,ARTSB232,ARTS,ARTS - Art Studio,B232,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Figure Structure I,Figure Structure I,"(Prerequisite: ARTS B102, B103, B104, B111, and B112 or consent of instructor) The structural nature of figure, with emphasis on the translation of
form in space onto a two-dimensional surface.",Standard Letter
Fall 2023,Beaufort,ARTSB232,ARTS,ARTS - Art Studio,B232,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Figure Structure I,Figure Structure I,"(Prerequisite: ARTS B102, B103, B104, B111, and B112 or consent of instructor) The structural nature of figure, with emphasis on the translation of
form in space onto a two-dimensional surface.",Standard Letter
Fall 2023,Beaufort,ARTSB233,ARTS,ARTS - Art Studio,B233,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Figure Structure II,Figure Structure II,"(Prerequisite: ARTS B102, B103, B104, B111, and B232 or consent of instructor) Continuation of ARTS B232 with increased emphasis on anatomy.",Standard Letter
Fall 2023,Beaufort,ARTSB245,ARTS,ARTS - Art Studio,B245,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Graphic Design I,Graphic Design I,"(Prerequisite: ARTS B102, B103, B104, and B111) The basics of visual communication, including formal issues, fundamental communication principles, image development, and relevant digital applications.",Standard Letter
Fall 2023,Beaufort,ARTSB262,ARTS,ARTS - Art Studio,B262,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Photography I,Digital Photography I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the use of the DSLR camera and software manipulation. Manual camera use and creative expression will be the focus aside from historical references pertaining to traditional and digital photography.",Standard Letter
Fall 2023,Beaufort,ARTSB262,ARTS,ARTS - Art Studio,B262,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Digital Photography I,Digital Photography I,"(Prerequisite: ARTS B102, B103, B104, and B111) An introduction to the use of the DSLR camera and software manipulation. Manual camera use and creative expression will be the focus aside from historical references pertaining to traditional and digital photography.",Standard Letter
Fall 2023,Beaufort,ARTSB310,ARTS,ARTS - Art Studio,B310,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting II,Painting II,"(Prerequisite: ARTS B102, B103, B104, B111, and B210) A continued exploration of the materials and techniques of painting with emphasis on individual creative expression.",Standard Letter
Fall 2023,Beaufort,ARTSB310,ARTS,ARTS - Art Studio,B310,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting II,Painting II,"(Prerequisite: ARTS B102, B103, B104, B111, and B210) A continued exploration of the materials and techniques of painting with emphasis on individual creative expression.",Standard Letter
Fall 2023,Beaufort,ARTSB311,ARTS,ARTS - Art Studio,B311,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting III,Painting III,"(Prerequisite: ARTS B102, B103, B104, B111, and B310) Further development of technical and creative expression.",Standard Letter
Fall 2023,Beaufort,ARTSB311,ARTS,ARTS - Art Studio,B311,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Painting III,Painting III,"(Prerequisite: ARTS B102, B103, B104, B111, and B310) Further development of technical and creative expression.",Standard Letter
Fall 2023,Beaufort,ARTSB315,ARTS,ARTS - Art Studio,B315,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking II,Printmaking II,"(Prerequisite: ARTS B102, B103, B104, B111, and B215) Relief and intaglio techniques including the execution of original works in these media.
",Standard Letter
Fall 2023,Beaufort,ARTSB315,ARTS,ARTS - Art Studio,B315,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking II,Printmaking II,"(Prerequisite: ARTS B102, B103, B104, B111, and B215) Relief and intaglio techniques including the execution of original works in these media.
",Standard Letter
Fall 2023,Beaufort,ARTSB316,ARTS,ARTS - Art Studio,B316,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking III,Printmaking III,"(Prerequisite: ARTS B102, B103, B104, B111, and B315) Intaglio and lithography techniques including the execution of original works in these media.
",Standard Letter
Fall 2023,Beaufort,ARTSB316,ARTS,ARTS - Art Studio,B316,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Printmaking III,Printmaking III,"(Prerequisite: ARTS B102, B103, B104, B111, and B315) Intaglio and lithography techniques including the execution of original works in these media.
",Standard Letter
Fall 2023,Beaufort,ARTSB320,ARTS,ARTS - Art Studio,B320,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics II,Ceramics II,"(Prerequisite: ARTS B102, B103, B104, B111, and B220) The execution of ceramic forms with a focus on wheel throwing, firing, and glazes. Additional emphases include design, critical evaluation of form, and advancement of technical skill.",Standard Letter
Fall 2023,Beaufort,ARTSB320,ARTS,ARTS - Art Studio,B320,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics II,Ceramics II,"(Prerequisite: ARTS B102, B103, B104, B111, and B220) The execution of ceramic forms with a focus on wheel throwing, firing, and glazes. Additional emphases include design, critical evaluation of form, and advancement of technical skill.",Standard Letter
Fall 2023,Beaufort,ARTSB321,ARTS,ARTS - Art Studio,B321,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics III,Ceramics III,"(Prerequisite: ARTS B102, B103, B104, B111, and B320) The execution of ceramic forms with a concentration on hand-building techniques, and the
formulation of glazes and clay bodies.",Standard Letter
Fall 2023,Beaufort,ARTSB321,ARTS,ARTS - Art Studio,B321,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Ceramics III,Ceramics III,"(Prerequisite: ARTS B102, B103, B104, B111, and B320) The execution of ceramic forms with a concentration on hand-building techniques, and the
formulation of glazes and clay bodies.",Standard Letter
Fall 2023,Beaufort,ARTSB325,ARTS,ARTS - Art Studio,B325,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture II,Sculpture II,"(Prerequisite: ARTS B102, B103, B104, B111, and B225) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter
Fall 2023,Beaufort,ARTSB325,ARTS,ARTS - Art Studio,B325,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture II,Sculpture II,"(Prerequisite: ARTS B102, B103, B104, B111, and B225) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter
Fall 2023,Beaufort,ARTSB326,ARTS,ARTS - Art Studio,B326,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture III,Sculpture III,"(Prerequisite: ARTS B102, B103, B104, B111, and B325) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter
Fall 2023,Beaufort,ARTSB326,ARTS,ARTS - Art Studio,B326,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Sculpture III,Sculpture III,"(Prerequisite: ARTS B102, B103, B104, B111, and B325) A further study of various three-dimensional medias incorporating emerging technologies and advanced practices in sculpture.",Standard Letter
Fall 2023,Beaufort,ARTSB330,ARTS,ARTS - Art Studio,B330,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing III,Drawing III,"(Prerequisite: ARTS B102, B103, B104, B111, and B212) Enhancing graphic richness in drawings with intellectual and visual perception as content.",Standard Letter
Fall 2023,Beaufort,ARTSB330,ARTS,ARTS - Art Studio,B330,A,Active,Studio / PE Course,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Drawing III,Drawing III,"(Prerequisite: ARTS B102, B103, B104, B111, and B212) Enhancing graphic richness in drawings with intellectual and visual perception as content.",Standard Letter
Fall 2023,Beaufort,ARTSB345,ARTS,ARTS - Art Studio,B345,A,Active,Lecture,2A,Univ of S Carolina Beaufort,2EVA,USC-B English & Visual Arts,3,,Graphic Design II,Graphic Design II,"(Prerequisite: ARTS B102, B103, B104, B111, and B245) Digital production studio techniques for graphic design with a focus on typography and
word/image relationships. Additional emphases includes: design issues, fundamental communication principles, image development, and relevant
digital applications.",Standard Letter
