Subunit,Form of Address,Title,First Name,Last name,Course,ID,Program of Study,Location,Course Type,Participants,Secondary instructors,Period,Sheet,The instructor was prepared to teach this course,The instructor clearly stated the method by which your final grade would be determined.,The instructor clearly stated the instructional objectives of this course.,The instructor clearly explained any special requirements of attendance which differ from the attendance policy of the University.,The instructor regularly met the class as scheduled and taught for the scheduled time.,The instructor scheduled a reasonable number of office hours per week.,The instructor graded and returned the students' written work (e.g. examinations and papers) in a timely manner.,The instructor exhibited an ability to articulate the course material.,The instructor created an atmosphere that stimulated me to want to learn.,I would rate this professor as an effective teacher.,This class/laboratory time was valuable to my education.,I would recommend this course to other students.,"Please indicate your satisfaction with the availability of the instructor outside the classroom. (In selecting your rating, consider the instructor's availability via established office hours, appointments, and other opportunities for face-to-face interaction as well as via telephone, email, fax, and other means.)","If web sites, Blackboard, or other Internet resources were a part of this course, to what extent did they enhance or detract from your learning experience in the course."
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,16,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,17,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2018,CSCIB101-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,18,4,4,4,4,4,4,4,4,4,4,4,4,4,
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,1,4,4,4,4,4,4,2,4,4,4,4,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,2,4,4,4,4,3,4,3,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,6,4,4,4,3,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,7,4,4,4,4,4,4,4,4,3,3,3,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,9,4,4,4,4,3,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-001-SPRING-2019,CSCIB101-001-SPRING-2019,Math and CS,,Class,19,0,Spring 2019,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,6,3,3,3,3,3,3,3,3,3,3,3,3,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,7,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB101-003-FALL-2017,CSCIB101-003-FALL-2017,Math and CS,,Class,27,0,FALL 2017,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2017,CSCIB104-001-FALL-2017,Math and CS,,Class,15,0,FALL 2017,1,4,3,4,4,4,4,4,4,3,4,3,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2017,CSCIB104-001-FALL-2017,Math and CS,,Class,15,0,FALL 2017,2,4,4,4,4,4,4,4,4,3,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2017,CSCIB104-001-FALL-2017,Math and CS,,Class,15,0,FALL 2017,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2017,CSCIB104-001-FALL-2017,Math and CS,,Class,15,0,FALL 2017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,3,4,4,4,4,4,4,4,4,4,4,4,4,,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,5,3,3,3,3,4,4,3,3,2,2,2,2,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,7,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,9,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,10,3,4,4,4,4,4,3,3,2,2,3,1,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,14,4,4,3,4,4,4,4,4,3,1,2,2,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,15,4,4,4,3,4,4,3,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,16,4,4,4,4,4,4,4,3,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,17,3,3,3,3,3,2,2,3,2,2,2,2,2,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,18,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,19,4,4,4,4,4,4,3,4,4,4,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2018,CSCIB104-001-FALL-2018,Math and CS,,Class,24,0,Fall 2018,20,3,3,3,3,3,3,3,3,2,3,2,3,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,1,4,4,4,4,4,4,4,3,4,4,4,3,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,3,4,4,4,3,4,4,4,4,3,4,3,2,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,5,4,4,4,4,4,4,4,4,4,4,4,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,6,4,4,4,4,4,4,3,3,3,3,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,7,4,4,4,4,4,4,4,4,4,4,4,4,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,8,4,4,4,4,4,4,4,4,4,4,4,4,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,9,4,4,3,4,4,4,3,4,4,4,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-FALL-2021,CSCIB104-001-FALL-2021,Math and CS,,Class,13,0,Fall 2021,11,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,1,4,4,4,4,4,4,3,4,4,4,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,2,2,4,3,3,3,3,3,2,3,3,2,2,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,7,4,4,4,4,4,4,4,4,3,4,3,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,8,1,1,1,1,1,1,1,1,1,1,1,1,1,2
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,9,4,4,4,4,4,4,3,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,10,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,11,4,4,4,4,4,4,4,3,3,3,4,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,12,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,13,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,15,4,4,4,4,4,4,4,3,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,16,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,17,3,3,3,3,3,3,3,2,3,3,3,2,3,2
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,18,4,4,4,2,4,4,3,4,4,4,4,4,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2018,CSCIB104-001-SPRING-2018,Math and CS,,Class,23,0,Spring 2018,19,3,3,3,3,3,3,3,3,3,3,3,3,3,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,3,4,4,3,3,3,3,3,4,3,4,3,3,3,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,5,4,4,4,4,4,4,3,4,4,4,3,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,6,4,3,4,4,4,4,4,3,4,4,4,4,4,4
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,8,3,4,3,3,4,4,3,4,3,4,3,4,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,9,4,4,4,4,4,4,4,4,4,4,4,3,4,5
USC Beaufort,Instructor,,Ronald,Erdei,CSCIB104-001-SPRING-2019,CSCIB104-001-SPRING-2019,Math and CS,,Class,14,0,Spring 2019,10,3,4,4,4,4,3,3,3,4,4,4,3,3,4
