CourseID,CourseNumber,Title,MinCreditHours,MaxCreditHours,CourseDescription,GradeType,Course_type,SubjectID
22,B437,Advanced Accounting,3,NULL,"(Prerequisite: a grade of C or better in ACCT B426) The detailed study of special advanced topics of accounting, including (1) accounting for business mergers and consolidations, subsequent activities and consolidated reporting of financial information, (2) tax topics for business combinations, (3) relevant International Financial Reporting Standards, (4) accounting for legal reorganizations and liquidations, and (5) accounting for partnership formations, operations, and terminations.",Standard Letter,Lecture,1
23,B420,Advanced Ceramics,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B321) Further development of throwing and hand-building skills. Introduction to kiln firing and continued glaze and clay experimentation. Can be repeated for a total of 6 credit hours.",Standard Letter,Lecture,6
24,B420,Advanced Ceramics,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B321) Further development of throwing and hand-building skills. Introduction to kiln firing and continued glaze and clay experimentation. Can be repeated for a total of 6 credit hours.",Standard Letter,Studio / PE Course,6
25,B485,Advanced Club Management,3,NULL,(Prerequisite. HRTM B285 or consent of instructor) Advanced topics in hospitality management for the club industry.,Standard Letter,Lecture,36
26,B302,Advanced Comp and Grammar,3,NULL,(Prerequisite: FREN B201 or equivalent or consent of instructor; FREN B202 strongly recommended) Practice in French composition; intensive review of French grammar.,Standard Letter,Lecture,29
27,B465,Advanced Digital Photography,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B364) This course will focus on individual development in photography. Can be repeated for a total of 6 credit hours.",Standard Letter,Lecture,6
28,B465,Advanced Digital Photography,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B364) This course will focus on individual development in photography. Can be repeated for a total of 6 credit hours.",Standard Letter,Studio / PE Course,6
29,B395,Advanced Directed Studies Biol,1,4,"(Prerequisite: One course from BIOL B301, B302 or B303 with a grade of  C  or better) Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 6 credit hours.",Standard Letter,Lecture,9
30,B370,Advanced Drawing,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B330) Execution of advanced techniques in drawing utilizing emerging and contemporary practices. Emphasis on personal expression. Can be repeated for a total of 6 credit hours",Standard Letter,Lecture,6
31,B370,Advanced Drawing,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B330) Execution of advanced techniques in drawing utilizing emerging and contemporary practices. Emphasis on personal expression. Can be repeated for a total of 6 credit hours",Standard Letter,Studio / PE Course,6
32,B431,Advanced Drawing II,3,NULL,"(Prerequisite: ARTS B102, B013, B104, B111, and B430) Development of highly individualized content in a series of drawings.",Standard Letter,Lecture,6
33,B635,Advanced Educational Psych,3,NULL,(Prerequisite: Permission of Department) This course will introduce and illustrate the proper use of learning theories in providing insights into defining and solving problems that may be encountered in educational settings. The emphasis will be on the use of these theories to solve realistic and relevant problems drawn from the classroom teacher s own personal experience or from cases in the readings.,Standard Letter,Lecture,23
34,B498,Advanced Independent Study,1,6,(Prerequisite: 9 hours of psychology and consent of instructor) Closely supervised project or research experience in psychology. Approved contract required. May be repeated for up to six credits.,Standard Letter,Independent Study,56
35,B412,Advanced Painting,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B311) An advanced opportunity to develop according to one's interests. Can be repeated for a total of 6 credit hours.",Standard Letter,Lecture,6
36,B412,Advanced Painting,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B311) An advanced opportunity to develop according to one's interests. Can be repeated for a total of 6 credit hours.",Standard Letter,Studio / PE Course,6
37,B417,Advanced Printmaking,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B316) The processes and materials of making fine prints. Can be repeated for a total of 6 credit hours.",Standard Letter,Lecture,6
38,B417,Advanced Printmaking,3,NULL,"(Prerequisite: ARTS B102, B103, B104, B111, and B316) The processes and materials of making fine prints. Can be repeated for a total of 6 credit hours.",Standard Letter,Studio / PE Course,6
39,B494,Advanced Research Methods Psyc,3,NULL,(Prerequisite: PSYC B200 and [PSYC B202 or SOCY B220 or STAT B201]) This course provides an integration of research methods and statistical methods. Students will design and complete a psychology research project.,Standard Letter,Lecture,56
40,B427,Advanced Sculpture,3,NULL,"(Prerequisite: ARTS B102, B103, B014, B111, and B325) This course will focus on individual development in the form of sculpture. Can be repeated for a total of 6 credit hours.",Standard Letter,Lecture,6
41,B427,Advanced Sculpture,3,NULL,"(Prerequisite: ARTS B102, B103, B014, B111, and B325) This course will focus on individual development in the form of sculpture. Can be repeated for a total of 6 credit hours.",Standard Letter,Studio / PE Course,6
42,B501,Advanced Statistical Methods,3,NULL,"{ STAT B501} (Prerequisite: STAT B340 [or demonstrated equivalent knowledge/experience] or consent of instructor) Methods of data description and analysis, regression and spectral techniques, graphical presentation, estimation and forecasting. Statistical software will be used throughout the course.",Standard Letter,Lecture,13
43,B520,Advanced Topics Database Sys,3,NULL,"(Prerequisite: CSCI B320 [or demonstrated equivalent knowledge/experience], or consent of instructor) Advanced data-processing techniques, software, database design, implementation, and manipulation.",Standard Letter,Lecture,13
44,B398,Advanced Topics in Chemistry,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lab / Clinical,10
45,B398,Advanced Topics in Chemistry,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lecture,10
46,B398,Advanced Topics in Chemistry,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lecture / Lab - Clinical,10
47,B398,Advanced Topics in Physics,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lab / Clinical,54
48,B398,Advanced Topics in Physics,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lecture,54
49,B398,Advanced Topics in Physics,1,4,"Study of a topic not otherwise available to student. May involve reading assignments, tutorial, lectures, papers, presentations, or field or laboratory study, determined in consultation with instructor. Repeatable to a maximum of 8 credit hours.",Standard Letter,Lecture / Lab - Clinical,54
50,B460,Advanced Writing,NULL,NULL,NULL,NULL,NULL,26
51,B325,Advocacy and Opposition,3,NULL,(Prerequisite: COMM B140) Major focus on models of argument and how they are presented in various communication contexts. Student debating included.,Standard Letter,Lecture,11
52,B107,Aerobic Fitness,1,NULL,Participate in aerobic fitness activities designed to improve cardiovascular endurance. Includes aerobic fitness assessment along with individualized and group aerobic fitness training.,Standard Letter,Studio / PE Course,52
53,B352,Africa from 1880,3,NULL,A history of modern Africa from the time of the Imperialist  scramble  of the 1880s to nationalism and decolonization in the present.,Standard Letter,Lecture,33
54,B351,African Diaspora,3,NULL,History of African in the America's from 16th century to the present. Special emphasis on the experiences of Africans in South Carolina and the Sea Islands.,Standard Letter,Lecture,33
55,B428,African-American Literature,3,NULL,Representative works of African-American writers.,Standard Letter,Lecture,26
56,B309,Age of Renaissance,3,NULL,"Social, cultural, and artistic movements in Italy and northern Europe from the Black Death (c. 1350) to religious reforms and revolutions (c. 1520).",Standard Letter,Lecture,33
57,B310,Age of the Reformation,3,NULL,"Ecclesiastical institutions, religious experience and efforts at reform before Luther; career and theology of Luther; diffusion of Reformation throughout Europe; career and theology of Calvin; Catholic renewal and response.",Standard Letter,Lecture,33
58,B146,Algorithmic Design II,NULL,NULL,NULL,NULL,NULL,39
59,B146,Algorithmic Design II,NULL,NULL,NULL,NULL,NULL,13
60,B424,American Drama,3,NULL,Representative plays from the 18th century to the present.,Standard Letter,Lecture,26
61,B469,American Legal History,3,NULL,"(Prerequisite: One of the following: HIST B101, B102, B111, B112, B115, B116. HIST B111 or B112 is preferred) A survey in American legal history, themes will include but are not confined to constitutional law, the impact of industrialism and the internationalization of law in the 20th century. Course includes REACH Act  Founding Documents .",Standard Letter,Lecture,33
62,B287,American Literature,NULL,NULL,NULL,NULL,NULL,26
63,B421,American Literature 1830-1860,3,NULL,Poetry and prose of the American Romantic period.,Standard Letter,Lecture,26
64,B422,American Literature 1860-1910,3,NULL,Poetry and prose from the Civil War to the early modern era.,Standard Letter,Lecture,26
65,B287,American Literatures,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher.) Survey of American literatures; authors, genres and periods. Appropriate for students from any discipline.",Standard Letter,Lecture,26
66,B468,American Military Experience,3,NULL,Transformation of war and of the institutions for waging war from the American Revolution to the present.,Standard Letter,Lecture,33
67,B201,American National Government,3,NULL,"The formation and development of the national government, its organization and powers.",Standard Letter,Lecture,55
68,B302,American Philosophy,3,NULL,"The principal movements of philosophical thought from Colonial times to the present, with special emphasis on the 19th and 20th centuries.",Standard Letter,Lecture,53
69,B450,Analysis I,3,NULL,(Prerequisite: grade of  C  or better in MATH B300 or consent of instructor) A rigorous treatment of topics introduced in elementary calculus and more advanced topics basic to the study of real analysis. Offered Spring semester.,Standard Letter,Lecture,44
70,B450,Analysis I,NULL,NULL,NULL,NULL,NULL,45
71,B451,Analysis II,NULL,NULL,NULL,NULL,NULL,44
72,B451,Analysis II,3,NULL,"(Prerequisite: grade of  C  or better in MATH B450 or consent of department) An introduction to the theory of several variables calculus: convergence in Euclidean spaces, functions on Euclidean spaces, differentiation in several variables, integration in several variables.",Standard Letter,Lecture,45
73,B232,Anatomy,4,NULL,Functional anatomy of the human body and its relation to disease processes. Not for biology major credit. Three lecture and three laboratory hours per week.,Standard Letter,Lab / Clinical,9
74,B232,Anatomy,4,NULL,Functional anatomy of the human body and its relation to disease processes. Not for biology major credit. Three lecture and three laboratory hours per week.,Standard Letter,Lecture,9
75,B232,Anatomy,4,NULL,Functional anatomy of the human body and its relation to disease processes. Not for biology major credit. Three lecture and three laboratory hours per week.,Standard Letter,Lecture / Lab - Clinical,9
76,B352,Anth of Magic and Religion,3,NULL,"{ RELG B360} A comparative examination of such topics as ritual, cosmology, revitalization movements, magic, witchcraft, myth and possession. (Satisfies USCB General Education Global Citizenship and Multicultural Understanding Requirement).",Standard Letter,Lecture,3
77,B360,Anthro of Magic and Religion,3,NULL,"{ ANTH B352} A comparative examination of such topics as ritual, cosmology, revitalization movements, magic, witchcraft, myth and possession.",Standard Letter,Lecture,58
78,B344,Anthropology of Tourism,3,NULL,"Drawing on tourism destinations, development agendas, and societies from around the globe, this course will critically examine the relationship between tourism and cultural identities and economies.",Standard Letter,Lecture,3
79,B271,Applied Enviromental Science,3,NULL,Basic ecological principles on the functions and values of natural systems and how to apply those principles to designing the built environment in concert with nature.,Standard Letter,Lecture,9
80,B212,Applied Psychology,3,NULL,"Uses of psychological knowledge and techniques in practical contexts; clinical, school, industrial, consumer and environmental psychology.",Standard Letter,Lecture,56
81,B314,Applied Sociology,3,NULL,"(Prerequisite: SOCY B101 or consent of instructor) Introduces students to the uses of sociological concepts, skills and tools to actively analyze and engage problems facing a variety of clients and organizations including business, government, religion and other community agencies and groups. Emphasizes case studies and hands-on experience to identify, investigate and actively seek solutions to issues of structure, process and social change.",Standard Letter,Lecture,59
82,B325,Argumentation and Debate,NULL,NULL,NULL,NULL,NULL,11
83,B330,Arts in Elementary Education,3,NULL,"(Prerequisite or Co-requisite: EDCI B100) Provides opportunities to develop competence in selecting and using a variety of high quality instructional methods, resources, and assessment strategies for teaching art, music, and movement to elementary children.",Standard Letter,Lecture,18
84,B303,Asian Theaters,3,NULL,"(Prerequisite: ENGL B101 or B105, and ENGL B102 or B106, each with a C or higher) A survey of the theatrical genres and practices of Japan, China, Indonesia, and India.",Standard Letter,Lecture,64
85,B624,Assessment & Instructional,3,NULL,(Prerequisite: Department Permission) This course focuses on determining reading and language needs of English learners through the use of screening and diagnostic assessments and using that information to inform teaching of English learners within the classroom setting. Candidates learn to administer quick assessments and design instruction and how instruction varies and students acquire language. Candidates choose one student's data to present in a case study format.,Standard Letter,Lecture,24
86,B312,Assessment & Physical Exam,3,NULL,"(Prerequisite: Acceptance to the Pre-licensure program, RN licensure or consent of instructor) Students will conduct a systematic patient examination to determine the health, health risk, and health alterations from disease conditions. The focus is on adults with normal physiologic variation and extends to include age, gender, and socio-cultural variants. Using assessment findings students will derive clinical problem statements, determine risk reduction strategies, and align assessment findings with laboratory and other diagnostic results to create a comprehensive health profile.",Standard Letter,Lab / Clinical,51
87,B312,Assessment & Physical Exam,3,NULL,"(Prerequisite: Acceptance to the Pre-licensure program, RN licensure or consent of instructor) Students will conduct a systematic patient examination to determine the health, health risk, and health alterations from disease conditions. The focus is on adults with normal physiologic variation and extends to include age, gender, and socio-cultural variants. Using assessment findings students will derive clinical problem statements, determine risk reduction strategies, and align assessment findings with laboratory and other diagnostic results to create a comprehensive health profile.",Standard Letter,Lecture,51
88,B312,Assessment & Physical Exam,3,NULL,"(Prerequisite: Acceptance to the Pre-licensure program, RN licensure or consent of instructor) Students will conduct a systematic patient examination to determine the health, health risk, and health alterations from disease conditions. The focus is on adults with normal physiologic variation and extends to include age, gender, and socio-cultural variants. Using assessment findings students will derive clinical problem statements, determine risk reduction strategies, and align assessment findings with laboratory and other diagnostic results to create a comprehensive health profile.",Standard Letter,Lecture / Lab - Clinical,51
89,B425,Assessment Lit for ECE Teacher,3,NULL,"(Prerequisite: Admission to the Professional Program in Education or consent of the Department Chair, and EDCI B100, EDCI B243, and EDRD B318; Corequisite: EDRD B430 or B433, and EDRD B450P) This course instructs teacher candidates to administer and analyze a variety of formal and informal assessments for screening and diagnosis of reading problems at the early childhood and elementary level. The course utilizes both standardized and portfolio assessments. Offered in Spring.",Standard Letter,Lecture,24
90,B625,Assessment Strategies for Read,3,NULL,"Teachers will examine various types of assessments that will determine students  strengths and areas for further instruction. Teachers will analyze existing data from multiple levels: individual students, groups of students (class level), grade levels, school, district, state, and national level data. They will explain assessment results and demonstrate the ability to advocate for appropriate literacy practices to relevant stakeholders. Teachers will also be able to locate and administer non-biased assessments to culturally and linguistically diverse student. This course aligns with Read to Succeed Legislation requirements for in-service teachers.",Standard Letter,Lecture,24
91,B485,Auditing,3,NULL,"(Prerequisites: ACCT B426, STAT B201) Principles of auditing necessary to evaluate the integrity of accounting systems and financial reporting.",Standard Letter,Lecture,1
92,B431,Bacteriology,3,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303; Co-requisite BIOL B431L) An introduction to bacteria and viruses emphasizing ultrastructure, physiology, genetics and growth. Discussion of public health, industrial and environmental microbiology. Three lecture hours per week.",Standard Letter,Lecture,9
93,B431L,Bacteriology Laboratory,1,NULL,(Co-requisite: BIOL B431) Three laboratory hours per week.,Standard Letter,Lab / Clinical,9
94,B221,Basic Concpt  Elementary Mth I,3,NULL,"(Prerequisite: Qualification through placement or a grade of  C  or better in MATH B111 or B115) The meaning of number, fundamental operations of arithmetic, the structure of the real number system and its subsystems, elementary number theory. Open only to students in elementary or early childhood teacher certification. Offered every semester.",Standard Letter,Lecture,44
95,B221,Basic Concpt  Elementary Mth I,NULL,NULL,NULL,NULL,NULL,45
96,B222,Basic Concpt Elementary Mth II,3,NULL,(Prerequisite: MATH B221) Informal geometry and basic concepts of algebra. Open only to students in elementary or early childhood teacher certification. Offered every semester.,Standard Letter,Lecture,44
97,B222,Basic Concpt Elementary Mth II,NULL,NULL,NULL,NULL,NULL,45
98,B112,Basic Drawing II,NULL,NULL,NULL,NULL,NULL,6
99,B101,Basic Health,NULL,NULL,NULL,NULL,NULL,35
100,B101,Basic Health,3,NULL,"This course is a basic health course in which students will learn about strategies to improve health. Nutrition, fitness, drugs, and sexuality are some of the topics discussed. Career opportunities within the health field will be explored.",Standard Letter,Lecture,57
101,B112,Basketball,1,NULL,"Fundamental skills of game performance. Strategy, rules, and basic offenses and defenses.",Standard Letter,Lecture,52
102,B112,Basketball,1,NULL,"Fundamental skills of game performance. Strategy, rules, and basic offenses and defenses.",Standard Letter,Studio / PE Course,52
103,B101,Beginning French I,3,NULL,"(Admission is restricted to those who have never studied French, or who have not studied French in the previous five years, or who test into this course in the USCB placement exam.) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.",Standard Letter,Lecture,29
104,B102,Beginning French II,3,NULL,(Prerequisite: FREN B101 or by placement) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.,Standard Letter,Lecture,29
105,B101,Beginning German,3,NULL,Introduction to grammar and practical vocabulary necessary for fundamental communication skills.,Standard Letter,Lecture,31
106,B102,Beginning German II,3,NULL,(Prerequisite: GERM B101) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.,Standard Letter,Lecture,31
107,B101,Beginning Spanish I,3,NULL,(Admission is restricted to those who have never studied Spanish previously or who have placed by examination into 101) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.,Standard Letter,Lecture,60
108,B102,Beginning Spanish II,3,NULL,(Prerequisite: SPAN B101 or by placement) Introduction to grammar and practical vocabulary necessary for fundamental communication skills.,Standard Letter,Lecture,60
109,B475,Beverages in Food Service Est,3,NULL,Management overview and operating problems of beverages in the hospitality industry.,Standard Letter,Lecture,36
110,B351,Beyond the Classroom I,3,NULL,"(Prerequisite: IDST major or approval of instructor. Junior standing.) Explores foundations of service learning. Theoretical approach to design and implementation of service learning project in and around the university, with emphasis on community outreach.",Standard Letter,Lecture,37
111,B351,Beyond the Classroom I,NULL,NULL,NULL,NULL,NULL,41
112,B111,Biblical History and Literatur,3,NULL,"A brief introduction to contemporary study of the Bible, its historical background, writing and transmission, its principal persons, events and ideas and their significance for the present time.",Standard Letter,Lecture,58
113,B312,Bioethics,3,NULL,The concepts of Person and Justice as they relate to biomedical sciences and technologies.,Standard Letter,Lecture,53
114,B450,Biological Oceanography,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Capstone course for the Marine Biology degree program that is an interdisciplinary introduction to biological oceanography. The course integrates physical, chemical, geological and biological principles into an overview of oceanic processes, with an emphasis on the influence of organisms on biogeochemical cycles. 3-50 minute lectures and 2.8-hour laboratory each week.",Standard Letter,Lab / Clinical,9
115,B450,Biological Oceanography,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Capstone course for the Marine Biology degree program that is an interdisciplinary introduction to biological oceanography. The course integrates physical, chemical, geological and biological principles into an overview of oceanic processes, with an emphasis on the influence of organisms on biogeochemical cycles. 3-50 minute lectures and 2.8-hour laboratory each week.",Standard Letter,Lecture,9
116,B450,Biological Oceanography,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Capstone course for the Marine Biology degree program that is an interdisciplinary introduction to biological oceanography. The course integrates physical, chemical, geological and biological principles into an overview of oceanic processes, with an emphasis on the influence of organisms on biogeochemical cycles. 3-50 minute lectures and 2.8-hour laboratory each week.",Standard Letter,Lecture / Lab - Clinical,9
117,B101,Biological Principles I,4,NULL,"Introductory survey of cell structure and function, genetics and evolution. For biology majors, premed students and others needing a prerequisite in biological sciences. Three lecture hours and three laboratory hours per week.",Standard Letter,Lab / Clinical,9
118,B101,Biological Principles I,4,NULL,"Introductory survey of cell structure and function, genetics and evolution. For biology majors, premed students and others needing a prerequisite in biological sciences. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture,9
119,B101,Biological Principles I,4,NULL,"Introductory survey of cell structure and function, genetics and evolution. For biology majors, premed students and others needing a prerequisite in biological sciences. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture / Lab - Clinical,9
120,B102,Biological Principles II,4,NULL,"Introductory survey of plant and animal systems, principles of development, physiology, reproduction and ecology. Three lecture hours and three laboratory hours per week.",Standard Letter,Lab / Clinical,9
121,B102,Biological Principles II,4,NULL,"Introductory survey of plant and animal systems, principles of development, physiology, reproduction and ecology. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture,9
122,B102,Biological Principles II,4,NULL,"Introductory survey of plant and animal systems, principles of development, physiology, reproduction and ecology. Three lecture hours and three laboratory hours per week.",Standard Letter,Lecture / Lab - Clinical,9
123,B361,Biological Psychology,3,NULL,(Prerequisite: PSYC B101) The neurochemical and neuroanatomical bases of behavior ranging from the reflex to schizophrenia. Satisfies 3-credit hour course requirement for Natural Science GE.,Standard Letter,Lecture,56
124,B498,Biological Research:An Intro,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Methodologies of biological research with emphasis on hypothesis formation, research design and data collection and current issues in biology. Two lecture and six laboratory hours per week.",Standard Letter,Lab / Clinical,9
125,B498,Biological Research:An Intro,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Methodologies of biological research with emphasis on hypothesis formation, research design and data collection and current issues in biology. Two lecture and six laboratory hours per week.",Standard Letter,Lecture,9
126,B498,Biological Research:An Intro,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Methodologies of biological research with emphasis on hypothesis formation, research design and data collection and current issues in biology. Two lecture and six laboratory hours per week.",Standard Letter,Lecture / Lab - Clinical,9
127,B100H,Biology Honors Seminar,1,NULL,"(Prerequisite: Acceptance in the Biology Honors program) This seminar will be an introduction to topics, information, reading and class field trips to reflect the honor s experience in the first two years of the program. Topics covered will include common readings, discussion of current research topics or current events, and professional development of the student. Course can be repeated for up to 4 credits.",Standard Letter,Lecture,9
128,B411,Biology of Marine Organisms,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Biological concepts emphasizing adaptation to marine environments. Laboratory experiments emphasize principles and techniques of marine biological study. Three lecture and three laboratory hours per week. Scheduled field trips are required.",Standard Letter,Lab / Clinical,9
129,B411,Biology of Marine Organisms,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Biological concepts emphasizing adaptation to marine environments. Laboratory experiments emphasize principles and techniques of marine biological study. Three lecture and three laboratory hours per week. Scheduled field trips are required.",Standard Letter,Lecture,9
130,B411,Biology of Marine Organisms,4,NULL,"(Prerequisite: a grade of C or better in two of the three core courses: BIOL B301, B302, B303) Biological concepts emphasizing adaptation to marine environments. Laboratory experiments emphasize principles and techniques of marine biological study. Three lecture and three laboratory hours per week. Scheduled field trips are required.",Standard Letter,Lecture / Lab - Clinical,9
131,B310,Biophysical Pathology,NULL,NULL,NULL,NULL,NULL,51
132,B415,Black Americans,3,NULL,A survey of the historical development of black people in the Western Hemisphere.,Standard Letter,Lecture,33
133,B113,Bowling,1,NULL,"An Introduction to the fundamentals of bowling, with an emphasis on basic techniques in all facets of the game, as well as an understanding of terminology.",Standard Letter,Studio / PE Course,52
134,B411,British Romantic Literature,3,NULL,Poetry and prose of the English Romantic period.,Standard Letter,Lecture,26
135,B250,Broadcast Design 1,3,NULL,"Introduction to the design and production of media for documentary style broadcasting, including storyboarding, virtual sets, digital cinematography, video editing, and motion graphics.",Standard Letter,Lecture,43
136,B350,Broadcast Design 2,3,NULL,"(Prerequisite: MART B250) Intermediate course on a specialized aspect of designing digital media for a documentary style television broadcast, such as virtual sets, digital cinematography, 3D motion graphics, or special effects.",Standard Letter,Lecture,43
137,B440,Busi & Finance in Sport Market,3,NULL,"(Prerequisite: HRTM B201 or consent of instructor) This comprehensive course focuses on methods and procedures as they apply to the economics of sport. Areas such as cost analysis, purchasing, budgeting and what a franchise means to a municipality will be examined.",Standard Letter,Lecture,61
