CourseOfferingID,Section,Days,StartTime,EndTime,Meeting_Type,ProfessorID,InstructionalMethod,CRN,MaxNumberOfSeats,CourseID,CourseTermID,StudentLevelID,LocationID
67,001,W,16:15:00,18:45:00,Exam,15,F2F,26917,20,1145,83,1,30
68,01T,M W,10:00:00,11:15:00,Class,18,F2F,28307,25,1001,83,1,47
69,01T,M,10:45:00,13:15:00,Exam,18,F2F,28307,25,1001,83,1,47
70,01T,M,11:30:00,12:45:00,Class,18,F2F,28308,25,948,83,1,47
71,01T,W,11:30:00,12:45:00,Class,18,F2F,28309,25,794,83,1,47
72,01W,,,,Class,18,Online,28276,25,175,83,1,92
73,01T,T Th,11:30:00,12:45:00,Class,18,F2F,28310,25,212,83,1,47
74,01T,Th,10:45:00,13:15:00,Exam,18,F2F,28310,25,212,83,1,47
75,CH1,,,,Class,18,Online,31461,0,212,83,1,92
76,CHT,T Th,11:30:00,12:45:00,Class,18,F2F,31466,0,212,83,1,47
77,CHT,Th,10:45:00,13:15:00,Exam,18,F2F,31466,0,212,83,1,47
78,P10,,,,Class,18,Online,31157,0,212,83,1,92
79,001,M,08:00:00,10:30:00,Exam,23,F2F,26458,17,169,83,1,75
80,001,M,08:00:00,10:50:00,Class,23,F2F,26458,17,169,83,1,75
81,002,M,12:00:00,14:40:00,Class,23,F2F,26470,24,169,83,1,75
82,002,M,13:30:00,16:00:00,Exam,23,F2F,26470,24,169,83,1,75
83,CH1,M,08:00:00,10:30:00,Exam,23,F2F,31502,0,169,83,1,75
84,CH1,M,08:00:00,10:50:00,Class,23,F2F,31502,0,169,83,1,75
85,CH2,M,12:00:00,14:40:00,Class,23,F2F,31501,0,169,83,1,75
86,CH2,M,13:30:00,16:00:00,Exam,23,F2F,31501,0,169,83,1,75
87,001,W,08:00:00,10:30:00,Exam,29,F2F,26419,24,157,83,1,75
88,001,W,08:00:00,10:50:00,Class,29,F2F,26419,24,157,83,1,75
89,002,W,12:00:00,14:50:00,Class,29,F2F,26421,24,157,83,1,75
90,002,W,13:30:00,16:00:00,Exam,29,F2F,26421,24,157,83,1,75
91,CH1,W,08:00:00,10:30:00,Exam,29,F2F,31508,0,157,83,1,75
92,CH1,W,08:00:00,10:50:00,Class,29,F2F,31508,0,157,83,1,75
93,CH2,W,12:00:00,14:50:00,Class,29,F2F,31507,0,157,83,1,75
94,CH2,W,13:30:00,16:00:00,Exam,29,F2F,31507,0,157,83,1,75
95,01L,Th,08:00:00,10:40:00,Class,29,F2F,26432,24,203,83,1,78
96,02L,Th,12:00:00,14:40:00,Class,29,F2F,26434,24,203,83,1,78
97,5WL,W,08:30:00,11:20:00,Class,29,F2F,26435,16,203,83,1,89
98,001,M W F,09:00:00,09:50:00,Class,30,F2F,29350,25,1160,83,1,34
99,001,M,08:00:00,10:30:00,Exam,30,F2F,29350,25,1160,83,1,34
100,001,M W,10:00:00,11:15:00,Class,36,F2F,27764,25,713,83,1,71
101,001,M,10:45:00,13:15:00,Exam,36,F2F,27764,25,713,83,1,71
102,001,M W,12:00:00,13:15:00,Class,36,F2F,27765,25,825,83,1,71
103,001,M,10:45:00,13:15:00,Exam,36,F2F,27765,25,825,83,1,71
104,006,T Th,16:30:00,17:45:00,Class,37,F2F,29355,25,1160,83,1,35
105,006,Th,16:15:00,18:45:00,Exam,37,F2F,29355,25,1160,83,1,35
106,003,Th,14:10:00,17:00:00,Class,39,F2F,27566,24,119,83,1,68
107,001,M W F,10:00:00,10:50:00,Class,39,F2F,27594,68,350,83,1,57
108,001,M,10:45:00,13:15:00,Exam,39,F2F,27594,68,350,83,1,57
109,CH2,M W F,10:00:00,10:50:00,Class,39,F2F,31492,0,350,83,1,57
110,CH2,M,10:45:00,13:15:00,Exam,39,F2F,31492,0,350,83,1,57
111,01L,W,15:00:00,17:50:00,Class,39,F2F,27595,24,351,83,1,69
112,03L,F,14:30:00,17:20:00,Class,39,F2F,27597,24,351,83,1,68
113,IS2,,,,Class,39,F2F,31348,1,580,83,1,1
114,01A,S,12:30:00,15:00:00,Exam,42,F2F,27729,30,224,82,1,76
115,01A,S,12:30:00,17:30:00,Class,42,F2F,27729,30,224,82,1,76
116,01W,,,,Class,44,Online,27562,36,922,83,1,92
117,0WL,,,,Class,44,Online,27563,24,920,83,1,92
118,001,T Th,13:40:00,14:55:00,Class,44,F2F,27622,30,459,83,1,70
119,001,Th,13:30:00,16:00:00,Exam,44,F2F,27622,30,459,83,1,70
120,002,T Th,09:25:00,10:40:00,Class,44,F2F,29418,20,459,83,1,71
121,002,Th,08:00:00,10:30:00,Exam,44,F2F,29418,20,459,83,1,71
122,CH1,T Th,13:40:00,14:55:00,Class,44,F2F,31484,0,459,83,1,70
123,CH1,Th,13:30:00,16:00:00,Exam,44,F2F,31484,0,459,83,1,70
124,01L,T,15:05:00,17:55:00,Class,44,F2F,27624,17,461,83,1,73
125,02L,W,15:30:00,18:20:00,Class,44,F2F,27625,14,461,83,1,73
126,B1L,Th,16:00:00,18:50:00,Class,44,F2F,27626,15,461,83,1,59
127,001,T Th,12:15:00,13:30:00,Class,44,F2F,27627,24,380,83,1,70
128,001,Th,10:45:00,13:15:00,Exam,44,F2F,27627,24,380,83,1,70
129,01L,T,15:05:00,17:55:00,Class,44,F2F,27629,7,381,83,1,73
130,B1L,Th,16:00:00,18:50:00,Class,44,F2F,27631,5,381,83,1,59
131,01W,,,,Class,47,Online,27560,24,309,83,1,92
132,0WL,,,,Class,47,Online,27561,24,310,83,1,92
133,01W,,,,Class,50,Online,27685,25,854,83,1,92
134,B01,Th,16:40:00,17:30:00,Class,54,F2F,27633,24,127,83,1,8
135,LC1,T Th,08:00:00,09:15:00,Class,54,F2F,27635,20,119,83,1,8
136,LC1,T,08:00:00,10:30:00,Exam,54,F2F,27635,20,119,83,1,8
137,LC2,T Th,08:00:00,09:15:00,Class,54,F2F,27636,12,119,83,1,8
138,LC2,Th,13:35:00,16:25:00,Class,54,F2F,27636,12,119,83,1,58
139,LC2,T,08:00:00,10:30:00,Exam,54,F2F,27636,12,119,83,1,8
140,001,,,,Class,54,F2F,29377,1,335,83,1,1
141,CH1,T Th,09:25:00,10:40:00,Class,54,F2F,31482,0,350,83,1,8
142,CH1,Th,08:00:00,10:30:00,Exam,54,F2F,31482,0,350,83,1,8
143,LC1,T Th,09:25:00,10:40:00,Class,54,F2F,27640,20,350,83,1,8
144,LC1,Th,08:00:00,10:30:00,Exam,54,F2F,27640,20,350,83,1,8
145,LCL,T,13:30:00,16:20:00,Class,54,F2F,27641,20,351,83,1,59
146,01L,Th,08:00:00,10:40:00,Class,56,F2F,26432,24,203,83,1,78
147,02L,Th,12:00:00,14:40:00,Class,56,F2F,26434,24,203,83,1,78
148,01L,F,08:00:00,10:40:00,Class,56,F2F,26489,24,201,83,1,78
149,02L,F,12:00:00,14:40:00,Class,56,F2F,26492,24,201,83,1,78
150,01W,,,,Class,57,Online,28429,25,685,83,1,92
151,02W,,,,Class,57,Online,28430,25,685,83,1,92
152,004,T Th,10:50:00,12:05:00,Class,66,F2F,28208,25,991,83,1,38
153,004,T,10:45:00,13:15:00,Exam,66,F2F,28208,25,991,83,1,38
154,005,T Th,12:15:00,13:30:00,Class,66,F2F,28200,25,991,83,1,37
155,005,Th,10:45:00,13:15:00,Exam,66,F2F,28200,25,991,83,1,37
156,007,M W F,13:30:00,14:40:00,Class,70,F2F,28450,12,872,83,1,55
157,007,M,13:30:00,16:00:00,Exam,70,F2F,28450,12,872,83,1,55
158,CH7,M W F,13:30:00,14:40:00,Class,70,F2F,31462,0,872,83,1,55
159,CH7,M,13:30:00,16:00:00,Exam,70,F2F,31462,0,872,83,1,55
160,B01,T Th,17:30:00,19:45:00,Class,70,F2F,28436,0,1043,83,1,84
161,B01,T,19:00:00,21:30:00,Exam,70,F2F,28436,0,1043,83,1,84
162,001,,,,Class,70,F2F,29690,0,610,83,2,1
163,001,,,,Class,70,F2F,29166,0,1019,83,2,1
164,001,,,,Class,70,F2F,29343,0,807,83,2,1
165,001,M W F,10:00:00,10:50:00,Class,72,F2F,27584,24,551,83,1,53
166,001,M,10:45:00,13:15:00,Exam,72,F2F,27584,24,551,83,1,53
167,002,M W F,10:00:00,10:50:00,Class,72,F2F,27585,24,551,83,1,53
168,002,M,10:45:00,13:15:00,Exam,72,F2F,27585,24,551,83,1,53
169,005,M W,15:30:00,16:45:00,Class,72,F2F,27588,24,551,83,1,53
170,005,W,16:15:00,18:45:00,Exam,72,F2F,27588,24,551,83,1,53
171,006,M W,15:30:00,16:45:00,Class,72,F2F,27589,24,551,83,1,53
172,006,W,16:15:00,18:45:00,Exam,72,F2F,27589,24,551,83,1,53
173,007,M W F,10:00:00,10:50:00,Class,72,F2F,31101,24,551,83,1,53
174,007,M,10:45:00,13:15:00,Exam,72,F2F,31101,24,551,83,1,53
175,CH5,M W,15:30:00,16:45:00,Class,72,F2F,31493,0,551,83,1,53
176,CH5,W,16:15:00,18:45:00,Exam,72,F2F,31493,0,551,83,1,53
177,LC1,T Th,08:00:00,09:15:00,Class,72,F2F,27643,20,551,83,1,10
178,LC1,T,08:00:00,10:30:00,Exam,72,F2F,27643,20,551,83,1,10
179,LC1,T,09:25:00,11:15:00,Class,72,F2F,27643,20,551,83,1,58
180,LC2,T Th,08:00:00,09:15:00,Class,72,F2F,30825,20,551,83,1,10
181,LC2,T,08:00:00,10:30:00,Exam,72,F2F,30825,20,551,83,1,10
182,01W,,,,Class,72,Online,27583,24,548,83,1,92
183,001,T Th,16:30:00,17:45:00,Class,74,F2F,27766,25,141,83,1,71
184,001,Th,16:15:00,18:45:00,Exam,74,F2F,27766,25,141,83,1,71
185,01W,,,,Class,77,Online,27730,30,831,83,1,92
186,02W,,,,Class,77,Online,27731,30,831,83,1,92
187,001,T Th,08:00:00,09:15:00,Class,77,F2F,27732,60,793,83,1,27
188,001,T,08:00:00,10:30:00,Exam,77,F2F,27732,60,793,83,1,27
189,001,M W,12:00:00,13:15:00,Class,78,F2F,26040,68,947,83,1,57
190,001,M,10:45:00,13:15:00,Exam,78,F2F,26040,68,947,83,1,57
191,001,M W,13:30:00,14:20:00,Class,78,F2F,26047,25,78,83,1,57
192,001,M,13:30:00,14:20:00,Exam,78,F2F,26047,25,78,83,1,57
193,001,,,,Class,78,Online,26047,25,78,83,1,92
194,01W,,,,Class,78,Online,26052,25,820,83,1,92
195,B23,T Th,12:15:00,14:30:00,Class,83,F2F,27357,10,1029,83,1,82
196,B23,Th,10:45:00,13:15:00,Exam,83,F2F,27357,10,1029,83,1,82
197,B23,T Th,12:15:00,14:30:00,Class,83,F2F,27358,5,1031,83,1,82
198,B23,Th,10:45:00,13:15:00,Exam,83,F2F,27358,5,1031,83,1,82
199,B23,T Th,12:15:00,14:30:00,Class,83,F2F,27359,5,1033,83,1,82
200,B23,Th,10:45:00,13:15:00,Exam,83,F2F,27359,5,1033,83,1,82
201,001,M W,15:30:00,16:45:00,Class,85,F2F,27361,25,532,83,1,35
202,001,W,16:15:00,18:45:00,Exam,85,F2F,27361,25,532,83,1,35
203,B01,M W,10:00:00,11:15:00,Class,85,F2F,27363,25,532,83,1,16
204,B01,M,10:45:00,13:15:00,Exam,85,F2F,27363,25,532,83,1,16
205,CH1,M W,10:00:00,11:15:00,Class,85,F2F,31497,0,532,83,1,16
206,CH1,M,10:45:00,13:15:00,Exam,85,F2F,31497,0,532,83,1,16
207,001,T Th,09:25:00,10:40:00,Class,85,F2F,27365,25,533,83,1,35
208,001,Th,08:00:00,10:30:00,Exam,85,F2F,27365,25,533,83,1,35
209,B01,M W,12:00:00,13:15:00,Class,85,F2F,27366,25,527,83,1,16
210,B01,M,10:45:00,13:15:00,Exam,85,F2F,27366,25,527,83,1,16
211,001,F,11:00:00,11:50:00,Class,87,F2F,26264,55,751,83,1,57
212,001,,,,Class,87,Online,26264,55,751,83,1,92
213,P1A,,,,Class,87,Online,26289,25,1083,82,1,92
214,P1A,,,,Class,87,Online,26292,25,1086,82,1,92
215,B01,M W,12:00:00,13:15:00,Class,89,F2F,28431,24,696,83,1,2
216,B01,M,10:45:00,13:15:00,Exam,89,F2F,28431,24,696,83,1,2
217,B01,M W,13:30:00,14:45:00,Class,89,F2F,28432,24,614,83,1,2
218,B01,M,13:30:00,16:00:00,Exam,89,F2F,28432,24,614,83,1,2
219,B01,M W,18:00:00,19:15:00,Class,89,F2F,31038,24,1110,83,1,2
220,B01,M,19:00:00,21:30:00,Exam,89,F2F,31038,24,1110,83,1,2
221,01L,Th,08:00:00,10:40:00,Class,91,F2F,26432,24,203,83,1,78
222,02L,Th,12:00:00,14:40:00,Class,91,F2F,26434,24,203,83,1,78
223,01L,Th,08:00:00,10:40:00,Class,93,F2F,26432,24,203,83,1,78
224,02L,Th,12:00:00,14:40:00,Class,93,F2F,26434,24,203,83,1,78
225,5WL,T,09:00:00,11:50:00,Class,97,F2F,26493,16,201,83,1,89
226,002,,,,Class,104,F2F,31280,3,335,83,1,1
227,001,T Th,08:00:00,09:15:00,Class,104,F2F,27604,14,954,83,1,75
228,001,T,08:00:00,10:30:00,Exam,104,F2F,27604,14,954,83,1,75
229,CH1,T Th,08:00:00,09:15:00,Class,104,F2F,31490,0,954,83,1,75
230,CH1,T,08:00:00,10:30:00,Exam,104,F2F,31490,0,954,83,1,75
231,01L,M,16:00:00,18:50:00,Class,104,F2F,27607,14,957,83,1,72
232,001,T Th,13:40:00,14:55:00,Class,104,F2F,27614,24,458,83,1,53
233,001,Th,13:30:00,16:00:00,Exam,104,F2F,27614,24,458,83,1,53
234,001,,,,Class,104,Online,27614,24,458,83,1,92
235,LC1,M W F,11:00:00,11:50:00,Class,104,F2F,27639,20,458,83,1,8
236,LC1,W,10:45:00,13:15:00,Exam,104,F2F,27639,20,458,83,1,8
237,LC1,,,,Class,104,Online,27639,20,458,83,1,92
238,IS1,,,,Class,104,F2F,31298,1,582,83,1,1
239,IS2,,,,Class,104,F2F,31299,1,582,83,1,1
240,001,T Th,08:00:00,09:15:00,Class,104,F2F,27606,10,955,83,1,75
241,001,T,08:00:00,10:30:00,Exam,104,F2F,27606,10,955,83,1,75
242,01L,M,16:00:00,18:50:00,Class,104,F2F,27608,10,956,83,1,72
243,001,Th,09:00:00,10:50:00,Class,103,F2F,27614,24,458,83,1,72
244,002,T,16:30:00,18:20:00,Class,103,F2F,27615,24,458,83,1,72
245,CH2,T,16:30:00,18:20:00,Class,103,F2F,31487,0,458,83,1,72
246,01L,T,09:20:00,11:55:00,Class,103,F2F,27617,24,385,83,1,72
247,02L,T,12:05:00,14:55:00,Class,103,F2F,27618,24,385,83,1,72
248,001,T Th,15:05:00,16:20:00,Class,103,F2F,27620,48,889,83,1,53
249,001,T,16:15:00,18:45:00,Exam,103,F2F,27620,48,889,83,1,53
250,CH1,T Th,15:05:00,16:20:00,Class,103,F2F,31485,0,889,83,1,53
251,CH1,T,16:15:00,18:45:00,Exam,103,F2F,31485,0,889,83,1,53
252,01W,,,,Class,110,Online,26044,25,1211,83,1,92
253,001,T Th,09:25:00,10:40:00,Class,122,F2F,26261,25,279,83,1,32
254,001,Th,08:00:00,10:30:00,Exam,122,F2F,26261,25,279,83,1,32
255,001,T Th,10:50:00,12:05:00,Class,122,F2F,26257,25,67,83,1,32
256,001,T,10:45:00,13:15:00,Exam,122,F2F,26257,25,67,83,1,32
257,002,T Th,12:15:00,13:30:00,Class,122,F2F,30888,25,67,83,1,32
258,002,Th,10:45:00,13:15:00,Exam,122,F2F,30888,25,67,83,1,32
259,01W,,,,Class,122,Online,26254,25,67,83,1,92
260,0WB,,,,Class,123,Online,27645,25,100,84,1,92
261,01W,,,,Class,125,Online,27569,24,452,83,1,92
262,02W,,,,Class,125,Online,27570,24,452,83,1,92
263,012,T Th,08:00:00,09:15:00,Class,127,F2F,29363,0,1160,83,1,37
264,012,T,08:00:00,10:30:00,Exam,127,F2F,29363,0,1160,83,1,37
265,013,T Th,15:05:00,16:20:00,Class,127,F2F,29364,0,1160,83,1,35
266,013,T,16:15:00,18:45:00,Exam,127,F2F,29364,0,1160,83,1,35
267,002,W,12:00:00,14:50:00,Class,129,F2F,26496,24,261,83,1,70
268,002,W,13:30:00,16:00:00,Exam,129,F2F,26496,24,261,83,1,70
269,01L,Th,08:00:00,10:40:00,Class,129,F2F,26432,24,203,83,1,78
270,02L,Th,12:00:00,14:40:00,Class,129,F2F,26434,24,203,83,1,78
271,5WL,W,08:30:00,11:20:00,Class,129,F2F,26435,16,203,83,1,89
272,01W,,,,Class,129,Online,26441,25,1026,83,1,92
273,02W,,,,Class,129,Online,26442,25,1026,83,1,92
274,CH1,,,,Class,129,Online,31506,0,1026,83,1,92
275,CHW,,,,Class,129,Online,31504,0,1026,83,1,92
276,01W,,,,Class,131,Online,27644,25,100,83,1,92
277,001,W,10:00:00,11:50:00,Class,131,F2F,27653,25,493,83,1,32
278,001,W,10:45:00,13:15:00,Exam,131,F2F,27653,25,493,83,1,32
279,001,,,,Class,131,Online,27653,25,493,83,1,92
280,01W,,,,Class,131,Online,27654,25,493,83,1,92
281,01W,,,,Class,131,Online,27655,25,189,83,1,92
282,011,M W F,12:30:00,13:20:00,Class,133,F2F,28461,12,249,83,1,77
283,011,M,10:45:00,13:15:00,Exam,133,F2F,28461,12,249,83,1,77
284,012,M W F,10:00:00,10:50:00,Class,133,F2F,28467,12,301,83,1,77
285,012,M,10:45:00,13:15:00,Exam,133,F2F,28467,12,301,83,1,77
286,011,M W F,12:30:00,13:20:00,Class,133,F2F,28462,13,250,83,1,77
287,011,M,10:45:00,13:15:00,Exam,133,F2F,28462,13,250,83,1,77
288,012,M W F,10:00:00,10:50:00,Class,133,F2F,28468,13,304,83,1,77
289,012,M,10:45:00,13:15:00,Exam,133,F2F,28468,13,304,83,1,77
290,001,M W F,09:00:00,09:50:00,Class,133,F2F,28458,25,612,83,1,77
291,001,M,08:00:00,10:30:00,Exam,133,F2F,28458,25,612,83,1,77
292,01L,Th,08:00:00,10:40:00,Class,134,F2F,26432,24,203,83,1,78
293,02L,Th,12:00:00,14:40:00,Class,134,F2F,26434,24,203,83,1,78
294,01L,F,08:00:00,10:40:00,Class,140,F2F,26489,24,201,83,1,78
295,02L,F,12:00:00,14:40:00,Class,140,F2F,26492,24,201,83,1,78
296,001,M W F,10:00:00,10:50:00,Class,141,F2F,25572,35,778,83,1,34
297,001,M,10:45:00,13:15:00,Exam,141,F2F,25572,35,778,83,1,34
298,CH1,,,,Class,141,Online,31516,0,979,83,1,92
299,P10,,,,Class,141,Online,25578,25,979,83,1,92
300,001,M W,15:30:00,16:45:00,Class,141,F2F,25575,18,39,83,1,32
301,001,W,16:15:00,18:45:00,Exam,141,F2F,25575,18,39,83,1,32
302,P01,,,,Class,141,Online,25607,18,39,83,1,92
303,001,T Th,15:05:00,17:30:00,Class,142,F2F,27424,16,343,83,1,36
304,001,T,16:15:00,18:45:00,Exam,142,F2F,27424,16,343,83,1,36
305,002,M W F,11:00:00,11:50:00,Class,144,F2F,28381,24,220,83,1,37
306,002,W,10:45:00,13:15:00,Exam,144,F2F,28381,24,220,83,1,37
307,001,M W F,12:00:00,13:10:00,Class,144,F2F,28383,24,630,83,1,37
308,001,M,10:45:00,13:15:00,Exam,144,F2F,28383,24,630,83,1,37
309,003,M W F,13:30:00,14:40:00,Class,144,F2F,28382,24,630,83,1,40
310,003,M,13:30:00,16:00:00,Exam,144,F2F,28382,24,630,83,1,40
311,004,M W F,08:40:00,09:50:00,Class,144,F2F,28384,24,630,83,1,37
312,004,M,08:00:00,10:30:00,Exam,144,F2F,28384,24,630,83,1,37
313,0WB,,,,Class,146,Online,29055,25,931,84,1,92
314,01W,,,,Class,150,Online,31185,20,220,83,1,92
315,01W,,,,Class,150,Online,28411,22,945,83,1,92
316,002,M W F,13:30:00,14:40:00,Class,152,F2F,28377,24,945,83,1,39
317,002,M,13:30:00,16:00:00,Exam,152,F2F,28377,24,945,83,1,39
318,001,M W F,08:40:00,09:50:00,Class,152,F2F,28378,20,150,83,1,39
319,001,M,08:00:00,10:30:00,Exam,152,F2F,28378,20,150,83,1,39
320,001,M W F,12:00:00,12:50:00,Class,152,F2F,28379,20,747,83,1,39
321,001,M,10:45:00,13:15:00,Exam,152,F2F,28379,20,747,83,1,39
322,CH1,M W F,12:00:00,12:50:00,Class,152,F2F,31463,0,747,83,1,39
323,CH1,M,10:45:00,13:15:00,Exam,152,F2F,31463,0,747,83,1,39
324,01L,F,08:00:00,10:40:00,Class,156,F2F,26489,24,201,83,1,78
325,02L,F,12:00:00,14:40:00,Class,156,F2F,26492,24,201,83,1,78
326,5WL,T,09:00:00,11:50:00,Class,156,F2F,26493,16,201,83,1,89
327,002,M,15:00:00,17:50:00,Class,158,F2F,27565,24,119,83,1,68
328,LC1,W,13:30:00,16:20:00,Class,158,F2F,27635,20,119,83,1,58
329,005,W,09:00:00,10:50:00,Class,158,F2F,27588,24,551,83,1,69
330,006,F,09:00:00,10:50:00,Class,158,F2F,27589,24,551,83,1,69
331,CH5,W,09:00:00,10:50:00,Class,158,F2F,31493,0,551,83,1,69
332,LC2,Th,09:25:00,11:15:00,Class,158,F2F,30825,20,551,83,1,58
333,001,T Th,09:25:00,10:40:00,Class,159,F2F,28275,25,538,83,1,27
334,001,Th,08:00:00,10:30:00,Exam,159,F2F,28275,25,538,83,1,27
335,01T,M W,13:00:00,14:15:00,Class,159,F2F,28312,25,998,83,1,49
336,01T,M,13:30:00,16:00:00,Exam,159,F2F,28312,25,998,83,1,49
337,01T,M W,11:30:00,12:45:00,Class,159,F2F,28313,25,411,83,1,49
338,01T,W,10:45:00,13:15:00,Exam,159,F2F,28313,25,411,83,1,49
339,CH1,,,,Class,159,Online,31468,0,535,83,1,92
340,P10,,,,Class,159,Online,28277,30,535,83,1,92
341,0WE,,,,Class,160,Online,27663,20,407,83,1,92
342,01W,,,,Class,160,Online,28808,25,1058,83,1,92
343,0WB,,,,Class,162,Online,27661,25,489,84,1,92
344,001,T Th,12:15:00,13:30:00,Class,169,F2F,27431,25,107,83,1,34
345,001,Th,10:45:00,13:15:00,Exam,169,F2F,27431,25,107,83,1,34
346,002,T Th,13:40:00,14:55:00,Class,169,F2F,27432,25,107,83,1,34
